time,step,P_cond_W,P_fric_W,scale,frac_wp,frac_tool,tool_pos_x,tool_pos_y,tool_vel_x,tool_vel_y,tool_Tmin,tool_Tmax,wp_Tmin,wp_Tmax,wp_Tavg,contact_iters,rel_force,rel_power
0.000000000000000e+00,0,0.000000000000000e+00,0.000000000000000e+00,1.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.958777350403768e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,3.000000000000000e+02,3.000000000000000e+02,3.000000000000000e+02,3.000000000000000e+02,3.000000000000000e+02,0,0.000000000000000e+00,0.000000000000000e+00
2.999999999999999e-08,1,1.207969813237417e-08,8.317912594860550e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.908777350403773e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.999998947300250e+02,3.000015738143159e+02,3.000000000000000e+02,3.000016401772542e+02,3.000000004372891e+02,2,0.000000000000000e+00,0.000000000000000e+00
6.000000000000006e-08,2,3.209065412738179e-08,8.613067903369520e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.858777350403771e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.999997933526877e+02,3.000041526391353e+02,3.000000000000000e+02,3.000043342874228e+02,3.000000011556679e+02,2,0.000000000000000e+00,0.000000000000000e+00
8.999999999999993e-08,3,5.478954768527233e-08,8.370738627146105e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.808777350403769e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.999996956517680e+02,3.000068559309892e+02,3.000000000000000e+02,3.000072318116305e+02,3.000000019284092e+02,2,0.000000000000000e+00,0.000000000000000e+00
1.199999999999998e-07,4,7.846631249212166e-08,8.557641810392974e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.758777350403768e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.999996014243097e+02,3.000094103005209e+02,3.000000000000000e+02,3.000100647556607e+02,3.000000026840679e+02,2,0.000000000000000e+00,0.000000000000000e+00
1.499999999999997e-07,5,1.038381117763309e-07,8.712891248137004e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.708777350403766e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.999995104797716e+02,3.000119518410804e+02,3.000000000000000e+02,3.000129614430148e+02,3.000000034568559e+02,2,0.000000000000000e+00,0.000000000000000e+00
1.799999999999995e-07,6,1.307041824655368e-07,8.862562762814021e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.658777350403764e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.999994226392354e+02,3.000144523818635e+02,3.000000000000000e+02,3.000158926548550e+02,3.000000042389860e+02,2,0.000000000000000e+00,0.000000000000000e+00
2.099999999999994e-07,7,1.597960566535856e-07,9.540242708317813e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.608777350403763e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.999993377346632e+02,3.000170600555156e+02,3.000000000000000e+02,3.000189985940052e+02,3.000000050678398e+02,2,0.000000000000000e+00,0.000000000000000e+00
2.399999999999993e-07,8,1.907423099943690e-07,9.294907372070192e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.558777350403761e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.999992556082055e+02,3.000196861562713e+02,3.000000000000000e+02,3.000221965989123e+02,3.000000059213884e+02,2,0.000000000000000e+00,0.000000000000000e+00
2.700000000000000e-07,9,2.216563647350321e-07,8.309421552794201e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.508777350403759e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.999991761115536e+02,3.000219778364843e+02,3.000000000000000e+02,3.000251465664420e+02,3.000000067089579e+02,2,0.000000000000000e+00,0.000000000000000e+00
3.000000000000007e-07,10,2.520811254368032e-07,7.520041807129888e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.458777350403758e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.999990991053333e+02,3.000238921187852e+02,3.000000000000000e+02,3.000277967912690e+02,3.000000074167498e+02,2,0.000000000000000e+00,0.000000000000000e+00
3.300000000000013e-07,11,2.821517625797106e-07,6.781164149361877e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.408777350403756e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.999990244585405e+02,3.000254972563941e+02,3.000000000000000e+02,3.000302019788422e+02,3.000000080593357e+02,2,0.000000000000000e+00,0.000000000000000e+00
