time,step,P_cond_W,P_fric_W,scale,frac_wp,frac_tool,tool_pos_x,tool_pos_y,tool_vel_x,tool_vel_y,tool_Tmin,tool_Tmax,wp_Tmin,wp_Tmax,wp_Tavg,contact_iters,rel_force,rel_power
0.000000000000000e+00,0,0.000000000000000e+00,0.000000000000000e+00,1.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.958777350403768e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,3.000000000000000e+02,3.000000000000000e+02,3.000000000000000e+02,3.000000000000000e+02,3.000000000000000e+02,0,0.000000000000000e+00,0.000000000000000e+00
4.999999999999994e-08,1,4.662401346107296e-08,3.819768629881111e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.875444017070429e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.000019010779190e+02,3.000000000000000e+02,3.000081894651172e+02,3.000000017878569e+02,1,0.000000000000000e+00,0.000000000000000e+00
9.999999999999973e-08,2,8.894374296421687e-08,2.463888473482211e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.792110683737104e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.000034693292913e+02,3.000000000000000e+02,3.000154875231898e+02,3.000000033833842e+02,1,0.000000000000000e+00,0.000000000000000e+00
1.500000000000003e-07,3,1.131451802423208e-07,1.503634763249392e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.708777350403779e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.000041252925183e+02,3.000000000000000e+02,3.000194848905530e+02,3.000000042601473e+02,1,0.000000000000000e+00,0.000000000000000e+00
2.000000000000014e-07,4,1.307481208652806e-07,1.280775345661071e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.625444017070453e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.000044470472317e+02,3.000000000000000e+02,3.000222828953141e+02,3.000000048760655e+02,1,0.000000000000000e+00,0.000000000000000e+00
2.500000000000019e-07,5,1.535814668141670e-07,2.041667546966900e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.542110683737128e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.000049980970178e+02,3.000000000000000e+02,3.000260220750023e+02,3.000000056981423e+02,1,0.000000000000000e+00,0.000000000000000e+00
3.000000000000004e-07,6,1.838948305809224e-07,2.287608475494970e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.458777350403802e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.000058609552662e+02,3.000000000000000e+02,3.000310820472166e+02,3.000000068095691e+02,1,0.000000000000000e+00,0.000000000000000e+00
3.499999999999989e-07,7,2.132285215700285e-07,1.931229740472926e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.375444017070477e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.000066268054179e+02,3.000000000000000e+02,3.000359287446358e+02,3.000000078757664e+02,1,0.000000000000000e+00,0.000000000000000e+00
3.999999999999973e-07,8,2.362880694574087e-07,1.430347605784927e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.292110683737151e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.000070579026784e+02,3.000000000000000e+02,3.000396165427321e+02,3.000000086902046e+02,1,0.000000000000000e+00,0.000000000000000e+00
4.499999999999958e-07,9,2.570017847788485e-07,1.606256454215322e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.208777350403826e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.000073627106285e+02,3.000000000000000e+02,3.000428751850014e+02,3.000000094118649e+02,1,0.000000000000000e+00,0.000000000000000e+00
4.999999999999967e-07,10,2.815302037806744e-07,1.931739720797678e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.125444017070500e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.000078359603710e+02,3.000000000000000e+02,3.000468192774414e+02,3.000000102840136e+02,1,0.000000000000000e+00,0.000000000000000e+00
