time,step,wp_Tmin,wp_Tmax,wp_Tavg,wp_umax,wp_svm_max,wp_epspl_max,wp_contact_pmax,wp_contact_count
1.300000000000057e-06,26,3.000000000000000e+02,3.072732459687223e+02,3.000016153498344e+02,2.270531282509635e-06,1.135947842072409e+09,1.893062498052242e-02,9.148746923255958e+13,1
1.350000000000061e-06,27,3.000000000000000e+02,3.081637338964896e+02,3.000018632947169e+02,2.364602831421896e-06,1.133984888262115e+09,2.116562443971739e-02,9.253802714836723e+13,2
1.400000000000064e-06,28,3.000000000000000e+02,3.086913339991133e+02,3.000020711433936e+02,2.458497831352918e-06,1.124261024474708e+09,2.250551808521144e-02,9.129680680700544e+13,2
1.450000000000068e-06,29,3.000000000000000e+02,3.090052238401200e+02,3.000022451648042e+02,2.549732275480780e-06,1.114013929133284e+09,2.331946263148691e-02,8.995136076131775e+13,2
1.500000000000072e-06,30,3.000000000000000e+02,3.092480456731781e+02,3.000024026543334e+02,2.638298877089994e-06,1.113307562034688e+09,2.395839655372755e-02,8.953597560526641e+13,2
1.550000000000076e-06,31,3.000000000000000e+02,3.094912042163278e+02,3.000025661231978e+02,2.727417819621196e-06,1.116291576420741e+09,2.459697566630448e-02,8.944517761498106e+13,2
1.600000000000079e-06,32,3.000000000000000e+02,3.097422421055683e+02,3.000027378946284e+02,2.817723785983525e-06,1.118701155398773e+09,2.525257578229313e-02,8.922384446185012e+13,2
1.650000000000083e-06,33,3.000000000000000e+02,3.100079928596838e+02,3.000029233930084e+02,2.908310076432552e-06,1.122886549670512e+09,2.594403269346738e-02,8.908584334796188e+13,2
1.700000000000087e-06,34,3.000000000000000e+02,3.103069150232566e+02,3.000031324664488e+02,2.998343397830392e-06,1.129152671944297e+09,2.671740359022656e-02,8.912294231575216e+13,2
1.750000000000091e-06,35,3.000000000000000e+02,3.106541428630843e+02,3.000033722357526e+02,3.089026869094965e-06,1.135293692442107e+09,2.760847970917642e-02,8.912079659962934e+13,2
1.800000000000094e-06,36,3.000000000000000e+02,3.110556746194692e+02,3.000036493324283e+02,3.181359022200289e-06,1.142392131268782e+09,2.862930365160007e-02,8.909184900558281e+13,2
1.850000000000098e-06,37,3.000000000000000e+02,3.115247931783533e+02,3.000039673115123e+02,3.274755102369845e-06,1.148830890820613e+09,2.981082471697967e-02,8.896471428822570e+13,2
1.900000000000102e-06,38,3.000000000000000e+02,3.120214411855747e+02,3.000043024968226e+02,3.369960314354240e-06,1.151795151646587e+09,3.105382721647302e-02,8.846216195483045e+13,2
1.950000000000088e-06,39,3.000000000000000e+02,3.125109799469500e+02,3.000046424912672e+02,3.466111182774576e-06,1.154080222936840e+09,3.227528712532029e-02,8.781991931425692e+13,2
2.000000000000070e-06,40,3.000000000000000e+02,3.130042732187032e+02,3.000049936420392e+02,3.561264493275978e-06,1.157826383519082e+09,3.350349306963669e-02,8.960116040435162e+13,2
2.050000000000053e-06,41,3.000000000000000e+02,3.135365638062208e+02,3.000053700500820e+02,3.656312536633716e-06,1.163527322720589e+09,3.482163034621759e-02,9.629113062957216e+13,2
2.100000000000035e-06,42,3.000000000000000e+02,3.141023023873143e+02,3.000057649464479e+02,3.751535815909980e-06,1.167494630504381e+09,3.621750076070998e-02,1.030363293533542e+14,2
2.150000000000018e-06,43,3.000000000000000e+02,3.146721829260533e+02,3.000061642725487e+02,3.846894644196768e-06,1.169875954236655e+09,3.762145987208327e-02,1.092918470705642e+14,2
2.200000000000001e-06,44,3.000000000000000e+02,3.152208126192054e+02,3.000065544768124e+02,3.941174782593219e-06,1.171639753986023e+09,3.897397605311870e-02,1.151568292438853e+14,2
2.249999999999983e-06,45,3.000000000000000e+02,3.157642664678694e+02,3.000069476164778e+02,4.035106370914523e-06,1.174885820452696e+09,4.031154841321708e-02,1.210702008882533e+14,2
2.299999999999966e-06,46,3.000000000000000e+02,3.163285680832306e+02,3.000073612714917e+02,4.129660518853005e-06,1.179066223304919e+09,4.169328093052237e-02,1.273005333475122e+14,2
2.349999999999948e-06,47,3.000000000000000e+02,3.169288679140232e+02,3.000078157915912e+02,4.226122632360813e-06,1.183626021154849e+09,4.315288171244848e-02,1.336387920555006e+14,2
2.399999999999931e-06,48,2.999999999999924e+02,3.175663184299213e+02,3.000082960026417e+02,4.324750990363658e-06,1.188105694174108e+09,4.469286465395858e-02,1.398603618722836e+14,2
2.449999999999913e-06,49,2.999999999999920e+02,3.182390839928678e+02,3.000088207731669e+02,4.423705956405819e-06,1.191179690361859e+09,4.631110691902827e-02,1.459376567369439e+14,3
2.499999999999896e-06,50,2.999999999999928e+02,3.187328244641578e+02,3.000092914556062e+02,4.518537138351030e-06,1.177558313205556e+09,4.751753465010044e-02,1.478188426587614e+14,3
2.549999999999879e-06,51,2.999999999999928e+02,3.190652583678725e+02,3.000096819267101e+02,4.608849586894773e-06,1.172295116079787e+09,4.834926366638954e-02,1.499460288379108e+14,3
2.599999999999861e-06,52,2.999999999999928e+02,3.193460545035483e+02,3.000100425468512e+02,4.697216370000569e-06,1.170077967305086e+09,4.905926274193786e-02,1.521727413145323e+14,3
2.649999999999844e-06,53,2.999999999999928e+02,3.196032681865303e+02,3.000103874878097e+02,4.785093127616696e-06,1.169557887018497e+09,4.971203932071287e-02,1.543327758583114e+14,3
2.699999999999826e-06,54,2.999999999999928e+02,3.198451226714039e+02,3.000107218188974e+02,4.874388458963177e-06,1.168482664584945e+09,5.032697696891875e-02,1.562873353399906e+14,3
2.749999999999809e-06,55,2.999999999999928e+02,3.200699984850746e+02,3.000110582791440e+02,4.963524426973936e-06,1.167350544147327e+09,5.090076979830614e-02,1.579125500102589e+14,3
2.799999999999792e-06,56,2.999999999999928e+02,3.202804174309755e+02,3.000114216245939e+02,5.051112608001502e-06,1.166935365358411e+09,5.144055788592296e-02,1.594308748400650e+14,3
2.849999999999774e-06,57,2.999999999999928e+02,3.204869803577763e+02,3.000118192139445e+02,5.137772643842255e-06,1.167977817802830e+09,5.197124308025013e-02,1.609486756237963e+14,3
2.899999999999757e-06,58,2.999999999999928e+02,3.207024451690042e+02,3.000122600393507e+02,5.225165438612967e-06,1.170976983741130e+09,5.252091368300617e-02,1.626045144817083e+14,3
2.949999999999739e-06,59,2.999999999999928e+02,3.209430502646766e+02,3.000127671290487e+02,5.314445790102611e-06,1.175718502593620e+09,5.312657978154110e-02,1.646908293203866e+14,3
2.999999999999722e-06,60,2.999999999999928e+02,3.212211368073066e+02,3.000133658974991e+02,5.406592912026813e-06,1.180889309765236e+09,5.381495108596778e-02,1.668266751040452e+14,3
3.049999999999704e-06,61,2.999999999999928e+02,3.215372626448664e+02,3.000140799349999e+02,5.500082854097161e-06,1.185414258327289e+09,5.458820415558257e-02,1.686101286616603e+14,3
3.099999999999687e-06,62,2.999999999999928e+02,3.218874243065970e+02,3.000149203215408e+02,5.593949099871139e-06,1.191006625062281e+09,5.543798130389487e-02,1.699675459648842e+14,3
3.149999999999670e-06,63,2.999999999999928e+02,3.222561795448532e+02,3.000158985119559e+02,5.689493981710924e-06,1.198162191128141e+09,5.632636000069267e-02,1.705876273228449e+14,3
3.199999999999652e-06,64,2.999999999999928e+02,3.226222671411656e+02,3.000169720822414e+02,5.787125462019693e-06,1.203478733871809e+09,5.720385221865854e-02,1.704093564411625e+14,3
3.249999999999635e-06,65,2.999999999999928e+02,3.229663542529622e+02,3.000180872748662e+02,5.886194686841044e-06,1.208125590343433e+09,5.802664505127684e-02,1.698066614041806e+14,3
3.299999999999617e-06,66,2.999999999999928e+02,3.232919772698912e+02,3.000192344062972e+02,5.985948441047163e-06,1.212950515272558e+09,5.880402289842283e-02,1.690014415989089e+14,3
3.349999999999600e-06,67,2.999999999999928e+02,3.236064046273597e+02,3.000204131275262e+02,6.085140969709605e-06,1.217893227214180e+09,5.955376132730964e-02,1.681065277282291e+14,3
3.399999999999582e-06,68,2.999999999999928e+02,3.239132790478279e+02,3.000216122416015e+02,6.183878336326228e-06,1.219526645315828e+09,6.028394984289687e-02,1.663785004163055e+14,4
3.449999999999565e-06,69,2.999999999999928e+02,3.241533241687695e+02,3.000225491745610e+02,6.278153564954384e-06,1.210130325960464e+09,6.086662558071059e-02,1.639271858359890e+14,4
3.499999999999548e-06,70,2.999999999999928e+02,3.243120757722078e+02,3.000232841921222e+02,6.369352642849848e-06,1.205208357004744e+09,6.126371245832626e-02,1.624922101047752e+14,4
3.549999999999530e-06,71,2.999999999999928e+02,3.244402897291664e+02,3.000239578381392e+02,6.458949551214265e-06,1.204096264132525e+09,6.158965956327025e-02,1.617344902459269e+14,4
3.599999999999513e-06,72,2.999999999999928e+02,3.245530932920626e+02,3.000246197499214e+02,6.548195426466479e-06,1.204438140276826e+09,6.187711743867938e-02,1.625386570894945e+14,4
3.649999999999495e-06,73,2.999999999999928e+02,3.247196182089237e+02,3.000252850047894e+02,6.637178192134883e-06,1.203583486925943e+09,6.215412151816713e-02,1.655922141098370e+14,4
3.699999999999478e-06,74,2.999999999999930e+02,3.251396566940857e+02,3.000259973226783e+02,6.725936180662568e-06,1.207155212993802e+09,6.318813602191643e-02,1.687372968283178e+14,4
3.749999999999461e-06,75,2.999999999999986e+02,3.255851941768314e+02,3.000268040506690e+02,6.815908203067604e-06,1.210051366907736e+09,6.428358951775226e-02,1.718336249957038e+14,4
3.799999999999443e-06,76,3.000000000000000e+02,3.260318219754252e+02,3.000277241111613e+02,6.907147982782463e-06,1.210895742105467e+09,6.538062364588625e-02,1.742619253642919e+14,4
3.849999999999456e-06,77,3.000000000000000e+02,3.264778271749118e+02,3.000288415572589e+02,7.000299299892632e-06,1.213096733271960e+09,6.647280383241919e-02,1.765374800352939e+14,4
