time,step,wp_Tmin,wp_Tmax,wp_Tavg,wp_umax,wp_svm_max,wp_epspl_max,wp_contact_pmax,wp_contact_count
0.000000000000000e+00,0,3.000000000000000e+02,3.000000000000000e+02,3.000000000000000e+02,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0
4.999999999999994e-08,1,3.000000000000000e+02,3.000083221974415e+02,3.000000005663897e+02,8.166441790999738e-08,2.128027590916039e+08,0.000000000000000e+00,1.406989024432344e+13,1
9.999999999999973e-08,2,3.000000000000000e+02,3.000181609315754e+02,3.000000012367088e+02,1.687712822437842e-07,3.899896305916075e+08,0.000000000000000e+00,2.437848294183525e+13,1
1.500000000000003e-07,3,3.000000000000000e+02,3.000282030626973e+02,3.000000019216653e+02,2.565039994956355e-07,5.568929962067715e+08,0.000000000000000e+00,3.402816826200825e+13,1
2.000000000000014e-07,4,3.000000000000000e+02,3.000384777698061e+02,3.000000026232559e+02,3.442191236963122e-07,7.163270413261620e+08,0.000000000000000e+00,4.319518297863266e+13,1
2.500000000000019e-07,5,3.000000000000000e+02,3.000494333050731e+02,3.000000033720074e+02,4.319175029983993e-07,8.714906299953599e+08,2.387154056976363e-06,5.212464819136671e+13,1
3.000000000000004e-07,6,3.000000000000000e+02,3.001774824445540e+02,3.000000120888411e+02,5.185035999193738e-07,9.977565320787654e+08,3.508351662399003e-04,6.040320947739198e+13,1
3.499999999999989e-07,7,3.000000000000000e+02,3.007857028933096e+02,3.000000534977561e+02,6.079311186890641e-07,1.042570951148311e+09,2.016938001054354e-03,6.630899402725694e+13,1
3.999999999999973e-07,8,3.000000000000000e+02,3.015843548846572e+02,3.000001079188739e+02,6.996042992460980e-07,1.065422404145862e+09,4.152477988101036e-03,7.111948942798219e+13,1
4.499999999999958e-07,9,3.000000000000000e+02,3.025495627112309e+02,3.000001737397902e+02,7.932097760249625e-07,1.088470213879476e+09,6.680718739271790e-03,7.644716345448448e+13,1
4.999999999999967e-07,10,3.000000000000000e+02,3.036827019698720e+02,3.000002510695261e+02,8.880039348903602e-07,1.106725612217633e+09,9.600680823696625e-03,8.169836828090308e+13,1
5.500000000000005e-07,11,3.000000000000000e+02,3.049160120240128e+02,3.000003353195232e+02,9.851546721476927e-07,1.122564669945370e+09,1.273135315389936e-02,8.680092015984712e+13,1
6.000000000000042e-07,12,3.000000000000000e+02,3.062516267408710e+02,3.000004272932460e+02,1.084292152605812e-06,1.137734638721894e+09,1.607706056190094e-02,9.197291572292642e+13,1
6.500000000000080e-07,13,3.000000000000000e+02,3.076962914279675e+02,3.000005378879839e+02,1.184935300666063e-06,1.151603949346935e+09,1.965321938724416e-02,9.650101101677116e+13,1
7.000000000000117e-07,14,3.000000000000000e+02,3.090758959270555e+02,3.000006669923193e+02,1.285527046826083e-06,1.151036735964586e+09,2.304655149073214e-02,9.725619737519645e+13,2
7.500000000000155e-07,15,3.000000000000000e+02,3.099719884494161e+02,3.000007941846652e+02,1.384183874154527e-06,1.151434332703768e+09,2.526083662901309e-02,9.594161262333248e+13,2
8.000000000000192e-07,16,3.000000000000000e+02,3.107556289500898e+02,3.000009159859936e+02,1.481312547657197e-06,1.153551176975733e+09,2.719781885859403e-02,9.494258105869272e+13,2
8.500000000000230e-07,17,3.000000000000000e+02,3.114575966324764e+02,3.000010287847401e+02,1.576794924996908e-06,1.154779185728237e+09,2.893409105674430e-02,9.391748407354009e+13,2
9.000000000000267e-07,18,3.000000000000000e+02,3.121012422854538e+02,3.000011345430177e+02,1.671922152509853e-06,1.156749767917178e+09,3.052511291910529e-02,9.299038984543808e+13,2
9.500000000000305e-07,19,3.000000000000000e+02,3.127126577416680e+02,3.000012366824209e+02,1.765439048654808e-06,1.159771943207827e+09,3.203687152350260e-02,9.225577265629395e+13,2
1.000000000000034e-06,20,3.000000000000000e+02,3.133406931683229e+02,3.000013433407734e+02,1.858375126675283e-06,1.164933513911979e+09,3.358511653733628e-02,9.178286378321411e+13,2
1.050000000000038e-06,21,3.000000000000000e+02,3.140056068117483e+02,3.000014574093551e+02,1.951982823415190e-06,1.169597187993274e+09,3.521723828782390e-02,9.123795386635539e+13,2
