running model 1
feed: 0.000100, dt 7.641171e-10, num_part 6231
<<< single-resolution simulation >>>
starting simulation: particles=6231 dt=7.641171e-10 t_final=2.160000e+04 steps=160644 print_every=1070
000070: #increments 074900, cur time 5.723237e-05, pctg done 46.624835, seconds left: 1287.195837
000071: #increments 075970, cur time 5.804998e-05, pctg done 47.290904, seconds left: 1271.475456
000072: #increments 077040, cur time 5.886758e-05, pctg done 47.956973, seconds left: 1255.947400
000073: #increments 078110, cur time 5.968519e-05, pctg done 48.623042, seconds left: 1240.397887
000074: #increments 079180, cur time 6.050279e-05, pctg done 49.289111, seconds left: 1224.695808
000075: #increments 080250, cur time 6.132040e-05, pctg done 49.955180, seconds left: 1209.203262
000076: #increments 081320, cur time 6.213800e-05, pctg done 50.621249, seconds left: 1193.660684
000077: #increments 082390, cur time 6.295561e-05, pctg done 51.287319, seconds left: 1178.027315
000078: #increments 083460, cur time 6.377321e-05, pctg done 51.953388, seconds left: 1162.665305
000079: #increments 084530, cur time 6.459082e-05, pctg done 52.619457, seconds left: 1146.923933
000080: #increments 085600, cur time 6.540842e-05, pctg done 53.285526, seconds left: 1131.250768
000081: #increments 086670, cur time 6.622603e-05, pctg done 53.951595, seconds left: 1115.459724
000082: #increments 087740, cur time 6.704363e-05, pctg done 54.617664, seconds left: 1099.607944
000083: #increments 088810, cur time 6.786124e-05, pctg done 55.283733, seconds left: 1083.838121
000084: #increments 089880, cur time 6.867884e-05, pctg done 55.949802, seconds left: 1068.026988
000085: #increments 090950, cur time 6.949645e-05, pctg done 56.615871, seconds left: 1052.563790
000086: #increments 092020, cur time 7.031406e-05, pctg done 57.281940, seconds left: 1036.685253
000087: #increments 093090, cur time 7.113166e-05, pctg done 57.948009, seconds left: 1021.311551
000088: #increments 094160, cur time 7.194927e-05, pctg done 58.614078, seconds left: 1005.458437
000089: #increments 095230, cur time 7.276687e-05, pctg done 59.280147, seconds left: 989.633633
000090: #increments 096300, cur time 7.358448e-05, pctg done 59.946216, seconds left: 973.708258
000091: #increments 097370, cur time 7.440208e-05, pctg done 60.612286, seconds left: 957.729330
000092: #increments 098440, cur time 7.521969e-05, pctg done 61.278355, seconds left: 941.846904
000093: #increments 099510, cur time 7.603729e-05, pctg done 61.944424, seconds left: 925.963395
000094: #increments 100580, cur time 7.685490e-05, pctg done 62.610493, seconds left: 909.949159
000095: #increments 101650, cur time 7.767250e-05, pctg done 63.276562, seconds left: 894.157182
000096: #increments 102720, cur time 7.849011e-05, pctg done 63.942631, seconds left: 878.194500
000097: #increments 103790, cur time 7.930771e-05, pctg done 64.608700, seconds left: 862.166614
000098: #increments 104860, cur time 8.012532e-05, pctg done 65.274769, seconds left: 846.205135
000099: #increments 105930, cur time 8.094292e-05, pctg done 65.940838, seconds left: 830.240343
000100: #increments 107000, cur time 8.176053e-05, pctg done 66.606907, seconds left: 814.266067
000101: #increments 108070, cur time 8.257813e-05, pctg done 67.272976, seconds left: 798.327884
000102: #increments 109140, cur time 8.339574e-05, pctg done 67.939045, seconds left: 782.409085
000103: #increments 110210, cur time 8.421335e-05, pctg done 68.605114, seconds left: 766.466763
000104: #increments 111280, cur time 8.503095e-05, pctg done 69.271183, seconds left: 750.607156
000105: #increments 112350, cur time 8.584856e-05, pctg done 69.937253, seconds left: 734.610694
000106: #increments 113420, cur time 8.666616e-05, pctg done 70.603322, seconds left: 718.646074
000107: #increments 114490, cur time 8.748377e-05, pctg done 71.269391, seconds left: 702.673662
000108: #increments 115560, cur time 8.830137e-05, pctg done 71.935460, seconds left: 686.968182
000109: #increments 116630, cur time 8.911898e-05, pctg done 72.601529, seconds left: 671.181979
000110: #increments 117700, cur time 8.993658e-05, pctg done 73.267598, seconds left: 655.241910
000111: #increments 118770, cur time 9.075419e-05, pctg done 73.933667, seconds left: 638.860974
000112: #increments 119840, cur time 9.157179e-05, pctg done 74.599736, seconds left: 622.536516
000113: #increments 120910, cur time 9.238940e-05, pctg done 75.265805, seconds left: 606.117075
000114: #increments 121980, cur time 9.320700e-05, pctg done 75.931874, seconds left: 589.706439
000115: #increments 123050, cur time 9.402461e-05, pctg done 76.597943, seconds left: 573.358660
000116: #increments 124120, cur time 9.484221e-05, pctg done 77.264012, seconds left: 556.917496
000117: #increments 125190, cur time 9.565982e-05, pctg done 77.930081, seconds left: 540.410777
000118: #increments 126260, cur time 9.647742e-05, pctg done 78.596150, seconds left: 523.973325
000119: #increments 127330, cur time 9.729503e-05, pctg done 79.262220, seconds left: 507.520051
000120: #increments 128400, cur time 9.811264e-05, pctg done 79.928289, seconds left: 491.102627
000121: #increments 129470, cur time 9.893024e-05, pctg done 80.594358, seconds left: 474.737087
000122: #increments 130540, cur time 9.974785e-05, pctg done 81.260427, seconds left: 458.381773
000123: #increments 131610, cur time 1.005655e-04, pctg done 81.926496, seconds left: 442.053033
000124: #increments 132680, cur time 1.013831e-04, pctg done 82.592565, seconds left: 425.835278
000125: #increments 133750, cur time 1.022007e-04, pctg done 83.258634, seconds left: 409.534927
000126: #increments 134820, cur time 1.030183e-04, pctg done 83.924703, seconds left: 393.250807
000127: #increments 135890, cur time 1.038359e-04, pctg done 84.590772, seconds left: 376.956765
000128: #increments 136960, cur time 1.046535e-04, pctg done 85.256841, seconds left: 360.699849
000129: #increments 138030, cur time 1.054711e-04, pctg done 85.922910, seconds left: 344.640310
000130: #increments 139100, cur time 1.062887e-04, pctg done 86.588979, seconds left: 328.421614
000131: #increments 140170, cur time 1.071063e-04, pctg done 87.255048, seconds left: 312.177064
000132: #increments 141240, cur time 1.079239e-04, pctg done 87.921118, seconds left: 295.949824
000133: #increments 142310, cur time 1.087415e-04, pctg done 88.587187, seconds left: 279.715828
000134: #increments 143380, cur time 1.095591e-04, pctg done 89.253256, seconds left: 263.476762
000135: #increments 144450, cur time 1.103767e-04, pctg done 89.919325, seconds left: 247.248130
000136: #increments 145520, cur time 1.111943e-04, pctg done 90.585394, seconds left: 230.974890
000137: #increments 146590, cur time 1.120119e-04, pctg done 91.251463, seconds left: 214.710003
000138: #increments 147660, cur time 1.128295e-04, pctg done 91.917532, seconds left: 198.423609
000139: #increments 148730, cur time 1.136471e-04, pctg done 92.583601, seconds left: 182.126346
000140: #increments 149800, cur time 1.144647e-04, pctg done 93.249670, seconds left: 165.819453
