time,step,P_cond_W,P_fric_W,scale,frac_wp,frac_tool,tool_pos_x,tool_pos_y,tool_vel_x,tool_vel_y,tool_Tmin,tool_Tmax,wp_Tmin,wp_Tmax,wp_Tavg,contact_iters,rel_force,rel_power
0.000000000000000e+00,0,0.000000000000000e+00,0.000000000000000e+00,1.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.958777350403768e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,3.000000000000000e+02,3.000000000000000e+02,3.000000000000000e+02,3.000000000000000e+02,3.000000000000000e+02,0,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-08,1,4.154868478471228e-09,3.771408012822760e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.942110683737099e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.000001599854610e+02,3.000000000000000e+02,3.000007469968169e+02,3.000000000784140e+02,1,0.000000000000000e+00,0.000000000000000e+00
2.000000000000001e-08,2,1.472519407082655e-08,4.028728245927990e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.925444017070429e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.000006011629413e+02,3.000000000000000e+02,3.000026033275790e+02,3.000000002733050e+02,1,0.000000000000000e+00,0.000000000000000e+00
