time,step,wp_Tmin,wp_Tmax,wp_Tavg,wp_umax,wp_svm_max,wp_epspl_max,wp_contact_pmax,wp_contact_count
0.000000000000000e+00,0,3.000000000000000e+02,3.000000000000000e+02,3.000000000000000e+02,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0
1.000000000000000e-08,1,3.000000000000000e+02,3.000007469968169e+02,3.000000000784140e+02,1.346351776340938e-08,5.268536127446869e+07,0.000000000000000e+00,4.426242256033363e+12,1
2.000000000000001e-08,2,3.000000000000000e+02,3.000026033275790e+02,3.000000002733050e+02,2.998916133081170e-08,9.649699692811039e+07,0.000000000000000e+00,7.308152557450346e+12,1
