time,step,wp_Tmin,wp_Tmax,wp_Tavg,wp_umax,wp_svm_max,wp_epspl_max,wp_contact_pmax,wp_contact_count
0.000000000000000e+00,0,3.000000000000000e+02,3.000000000000000e+02,3.000000000000000e+02,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0
3.503999999999546e-06,1,2.999999999981220e+02,3.765881464683602e+02,3.028670799039345e+02,3.438681039107344e-05,1.373811679154820e+09,1.802668044138878e-01,2.539957799533919e+14,22
7.008000000001030e-06,2,2.999999999985060e+02,7.316176312262971e+02,3.120066872642971e+02,7.398716552774473e-05,1.394747267486054e+09,1.022419365091920e+00,3.359319805898077e+14,28
