time,step,wp_Tmin,wp_Tmax,wp_Tavg,wp_umax,wp_svm_max,wp_epspl_max,wp_contact_pmax,wp_contact_count
0.000000000000000e+00,0,3.000000000000000e+02,3.000000000000000e+02,3.000000000000000e+02,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0
1.000000000000000e-08,1,3.000000000000000e+02,3.000007469968169e+02,3.000000001630045e+02,1.346351776340939e-08,5.268536127446815e+07,0.000000000000000e+00,4.426242256033354e+12,1
2.000000000000001e-08,2,3.000000000000000e+02,3.000026033273833e+02,3.000000005681380e+02,2.998916270266937e-08,9.649697944771281e+07,0.000000000000000e+00,7.308150444091820e+12,1
