time,step,P_cond_W,P_fric_W,scale,frac_wp,frac_tool,tool_Tmin,tool_Tmax,wp_Tmin,wp_Tmax,wp_Tavg,contact_iters,rel_force,rel_power
0.000000000000000e+00,0,0.000000000000000e+00,0.000000000000000e+00,1.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.000000000000000e+02,6.000000000000000e+02,3.000000000000000e+02,3.000000000000000e+02,3.000000000000000e+02,0,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-08,1,-2.080584070760793e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,5.999984081237120e+02,6.000000000000000e+02,3.000000000000000e+02,3.000000011081019e+02,3.000000000000754e+02,0,0.000000000000000e+00,0.000000000000000e+00
2.000000000000001e-08,2,-2.079477036790771e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,5.999968363731161e+02,6.000000000000000e+02,3.000000000000000e+02,3.000000022736295e+02,3.000000000001547e+02,0,0.000000000000000e+00,0.000000000000000e+00
3.000000000000003e-08,3,-2.077066717402865e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,5.999952843661480e+02,6.000000000000000e+02,3.000000000000000e+02,3.000000034375688e+02,3.000000000002339e+02,0,0.000000000000000e+00,0.000000000000000e+00
3.999999999999999e-08,4,-2.075781479423999e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,5.999937517287503e+02,6.000000000000000e+02,3.000000000000000e+02,3.000010423954635e+02,3.000000000709081e+02,0,0.000000000000000e+00,0.000000000000000e+00
4.999999999999994e-08,5,-2.072401489419994e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,5.999922380946982e+02,6.000000000000000e+02,3.000000000000000e+02,3.002528715389668e+02,3.000000172021573e+02,0,0.000000000000000e+00,0.000000000000000e+00
5.999999999999990e-08,6,-2.066865392277920e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,5.999907431054284e+02,6.000000000000000e+02,3.000000000000000e+02,3.009003967232269e+02,3.000000612571629e+02,0,0.000000000000000e+00,0.000000000000000e+00
6.999999999999986e-08,7,-2.059718624282118e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,5.999892664098721e+02,6.000000000000000e+02,3.000000000000000e+02,3.017632491279962e+02,3.000001199716274e+02,0,0.000000000000000e+00,0.000000000000000e+00
7.999999999999982e-08,8,-2.051819729399645e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,5.999878076642906e+02,6.000000000000000e+02,3.000000000000000e+02,3.027114436823159e+02,3.000001845059393e+02,0,0.000000000000000e+00,0.000000000000000e+00
8.999999999999977e-08,9,-2.043466008642883e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,5.999863665321162e+02,6.000000000000000e+02,3.000000000000000e+02,3.037479992599035e+02,3.000002550672452e+02,0,0.000000000000000e+00,0.000000000000000e+00
