node_id,x,y,z,uy_fixed,temperature_C,temperature_assigned_C,abs_err_C
1,-9.234587773504038e-04,1.474870178202186e-03,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
5,-9.234587773504038e-04,4.748701782021863e-04,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
142,-9.234587773504038e-04,5.147850021991892e-04,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
143,-9.234587773504038e-04,5.548479854645769e-04,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
144,-9.234587773504038e-04,5.951505485753872e-04,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
145,-9.234587773504038e-04,6.357847511055665e-04,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
146,-9.234587773504038e-04,6.768435403086452e-04,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
147,-9.234587773504038e-04,7.184209881505930e-04,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
148,-9.234587773504038e-04,7.606125446595173e-04,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
149,-9.234587773504038e-04,8.035152844783195e-04,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
150,-9.234587773504038e-04,8.472281652639794e-04,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
151,-9.234587773504038e-04,8.918522282903454e-04,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
152,-9.234587773504038e-04,9.374909786853194e-04,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
153,-9.234587773504038e-04,9.842504678774964e-04,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
154,-9.234587773504038e-04,1.032239760951317e-03,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
155,-9.234587773504038e-04,1.081320934914465e-03,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
156,-9.234587773504038e-04,1.130514590325430e-03,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
157,-9.234587773504038e-04,1.179708245736395e-03,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
158,-9.234587773504038e-04,1.228901901147360e-03,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
159,-9.234587773504038e-04,1.278095556558325e-03,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
160,-9.234587773504038e-04,1.327289211969291e-03,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
161,-9.234587773504038e-04,1.376482867380256e-03,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
162,-9.234587773504038e-04,1.425676522791221e-03,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
