time,step,P_cond_W,P_fric_W,scale,frac_wp,frac_tool,tool_Tmin,tool_Tmax,wp_Tmin,wp_Tmax,wp_Tavg,contact_iters,rel_force,rel_power
0.000000000000000e+00,0,0.000000000000000e+00,0.000000000000000e+00,1.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,3.000000000000000e+02,3.000000000000000e+02,6.000000000000000e+02,6.000000000000000e+02,6.000000000000000e+02,0,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-08,1,2.080592114479560e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,2.999999644635732e+02,3.000000000000000e+02,5.999999988918958e+02,6.000000000000000e+02,5.999999999997566e+02,0,0.000000000000000e+00,0.000000000000000e+00
2.000000000000001e-08,2,2.079493512018784e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,2.999999293764246e+02,3.000000000000000e+02,5.999999977263611e+02,6.000000000000000e+02,5.999999999995005e+02,0,0.000000000000000e+00,0.000000000000000e+00
3.000000000000003e-08,3,2.077093328434846e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,2.999998947300250e+02,3.000000000000000e+02,6.000000000000000e+02,6.000001562149185e+02,6.000000000343109e+02,0,0.000000000000000e+00,0.000000000000000e+00
3.999999999999999e-08,4,2.076978402127657e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,2.999998605160241e+02,3.000000000000000e+02,6.000000000000000e+02,6.001879699274930e+02,6.000000412870587e+02,0,0.000000000000000e+00,0.000000000000000e+00
4.999999999999994e-08,5,2.079431511759550e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,2.999998267262465e+02,3.000000000000000e+02,6.000000000000000e+02,6.007297852196804e+02,6.000001603116075e+02,0,0.000000000000000e+00,0.000000000000000e+00
5.999999999999990e-08,6,2.082636303261349e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,2.999997933526877e+02,3.000000000000000e+02,6.000000000000000e+02,6.013363488181457e+02,6.000002935873872e+02,0,0.000000000000000e+00,0.000000000000000e+00
6.999999999999986e-08,7,2.085727705988900e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,2.999997603875107e+02,3.000000000000000e+02,6.000000000000000e+02,6.019235416663286e+02,6.000004226402283e+02,0,0.000000000000000e+00,0.000000000000000e+00
7.999999999999982e-08,8,2.088661682615418e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,2.999997278230420e+02,3.000000000000000e+02,6.000000000000000e+02,6.024301248823534e+02,6.000005340175759e+02,0,0.000000000000000e+00,0.000000000000000e+00
8.999999999999977e-08,9,2.090940152345499e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,2.999996956517680e+02,3.000000000000000e+02,6.000000000000000e+02,6.028184116386429e+02,6.000006194396262e+02,0,0.000000000000000e+00,0.000000000000000e+00
