time_s,max_T_C,min_T_C,max_abs_dTdt_C_per_min,conv_ramp
636.001,765.576,26.9568,2257.22,3.56438e-05
642.001,765.423,26.9569,2252.32,3.56495e-05
648.001,765.269,26.9571,2247.44,3.56553e-05
654.001,765.115,26.9572,2242.55,3.5661e-05
660.001,764.961,26.9574,2237.67,3.56668e-05
666.001,764.807,26.9575,2232.79,3.56725e-05
672.001,764.653,26.9576,2227.92,3.56783e-05
678.001,764.498,26.9578,2223.05,3.56841e-05
684.001,764.343,26.9579,2218.19,3.56899e-05
690.001,764.188,26.9581,2213.33,3.56957e-05
696.001,764.032,26.9582,2208.47,3.57015e-05
702.001,763.877,26.9584,2203.62,3.57074e-05
708.001,763.721,26.9585,2198.77,3.57132e-05
714.001,763.565,26.9586,2193.93,3.57191e-05
720.001,763.408,26.9588,2189.09,3.57249e-05
726.001,763.252,26.9589,2184.25,3.57308e-05
732.001,763.095,26.9591,2179.42,3.57367e-05
738.001,762.938,26.9592,2174.59,3.57426e-05
744.001,762.78,26.9594,2169.77,3.57485e-05
750.001,762.623,26.9595,2164.95,3.57545e-05
756.001,762.465,26.9597,2160.13,3.57604e-05
762.001,762.307,26.9598,2155.32,3.57663e-05
768.001,762.148,26.96,2150.51,3.57723e-05
774.001,761.99,26.9601,2145.71,3.57783e-05
780.001,761.831,26.9603,2140.91,3.57843e-05
786.001,761.672,26.9605,2136.12,3.57903e-05
792.001,761.512,26.9606,2131.33,3.57963e-05
798.001,761.353,26.9608,2126.54,3.58023e-05
804.001,761.193,26.9609,2121.76,3.58083e-05
810.001,761.033,26.9611,2116.98,3.58144e-05
816.001,760.872,26.9612,2112.21,3.58204e-05
822.001,760.711,26.9614,2107.44,3.58265e-05
828.001,760.551,26.9616,2103.05,3.58326e-05
834.001,760.389,26.9617,2102.04,3.58387e-05
840.001,760.228,26.9619,2101.03,3.58448e-05
846.001,760.066,26.962,2100.01,3.58509e-05
852.001,759.904,26.9622,2098.99,3.58571e-05
858.001,759.742,26.9624,2097.97,3.58632e-05
864.001,759.579,26.9625,2096.94,3.58694e-05
870.001,759.416,26.9627,2095.91,3.58756e-05
876.001,759.253,26.9629,2094.88,3.58817e-05
882.001,759.09,26.963,2093.84,3.5888e-05
888.001,758.926,26.9632,2092.8,3.58942e-05
894.001,758.762,26.9634,2091.75,3.59004e-05
900.001,758.598,26.9635,2090.7,3.59066e-05
906.001,758.433,26.9637,2089.65,3.59129e-05
912.001,758.268,26.9639,2088.6,3.59192e-05
918.001,758.103,26.9641,2087.54,3.59255e-05
924.001,757.938,26.9642,2086.47,3.59317e-05
930.001,757.772,26.9644,2085.41,3.59381e-05
936.001,757.606,26.9646,2084.33,3.59444e-05
942.001,757.44,26.9648,2083.26,3.59507e-05
948.001,757.273,26.9649,2082.18,3.59571e-05
954.001,757.106,26.9651,2081.1,3.59635e-05
960.001,756.939,26.9653,2080.01,3.59698e-05
966.001,756.771,26.9655,2078.92,3.59762e-05
972.001,756.603,26.9656,2077.83,3.59826e-05
978.001,756.435,26.9658,2076.73,3.59891e-05
984.001,756.267,26.966,2075.63,3.59955e-05
990.001,756.098,26.9662,2074.52,3.6002e-05
996.001,755.929,26.9664,2073.41,3.60084e-05
1002,755.76,26.9666,2072.3,3.60149e-05
1008,755.59,26.9668,2071.18,3.60214e-05
1014,755.42,26.9669,2070.05,3.60279e-05
1020,755.25,26.9671,2068.93,3.60345e-05
1026,755.079,26.9673,2067.8,3.6041e-05
1032,754.908,26.9675,2066.66,3.60476e-05
1038,754.737,26.9677,2065.52,3.60542e-05
1044,754.565,26.9679,2064.38,3.60608e-05
1050,754.393,26.9681,2063.23,3.60674e-05
1056,754.221,26.9683,2062.08,3.6074e-05
1062,754.048,26.9685,2060.92,3.60806e-05
1068,753.875,26.9687,2059.76,3.60873e-05
1074,753.702,26.9689,2058.6,3.6094e-05
1080,753.528,26.9691,2057.43,3.61007e-05
1086,753.354,26.9693,2056.26,3.61074e-05
1092,753.18,26.9695,2055.08,3.61141e-05
1098,753.005,26.9697,2053.9,3.61208e-05
1104,752.83,26.9699,2052.71,3.61276e-05
1110,752.655,26.9701,2051.52,3.61343e-05
1116,752.479,26.9703,2050.33,3.61411e-05
1122,752.303,26.9705,2049.13,3.61479e-05
1128,752.126,26.9707,2047.92,3.61548e-05
1134,751.95,26.9709,2046.71,3.61616e-05
1140,751.772,26.9711,2045.5,3.61685e-05
1146,751.595,26.9714,2044.28,3.61753e-05
1152,751.417,26.9716,2043.06,3.61822e-05
1158,751.239,26.9718,2041.83,3.61891e-05
1164,751.06,26.972,2040.6,3.61961e-05
1170,750.881,26.9722,2039.36,3.6203e-05
1176,750.702,26.9724,2038.12,3.621e-05
1182,750.522,26.9727,2036.87,3.62169e-05
