time,step,P_cond_W,P_fric_W,scale,frac_wp,frac_tool,tool_Tmin,tool_Tmax,wp_Tmin,wp_Tmax,wp_Tavg,contact_iters,rel_force,rel_power
0.000000000000000e+00,0,0.000000000000000e+00,0.000000000000000e+00,1.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.000000000000000e+02,6.000000000000000e+02,3.000000000000000e+02,3.000000000000000e+02,3.000000000000000e+02,0,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-08,1,-2.080584070760793e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,5.999984081237120e+02,6.000000000000000e+02,3.000000000000000e+02,3.000000011081019e+02,3.000000000002434e+02,0,0.000000000000000e+00,0.000000000000000e+00
2.000000000000001e-08,2,-2.079477037905213e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,5.999968363731161e+02,6.000000000000000e+02,3.000000000000000e+02,3.000000022736295e+02,3.000000000004995e+02,0,0.000000000000000e+00,0.000000000000000e+00
3.000000000000003e-08,3,-2.077067758773126e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,5.999952843661480e+02,6.000000000000000e+02,3.000000000000000e+02,3.000000034375689e+02,3.000000000007553e+02,0,0.000000000000000e+00,0.000000000000000e+00
3.999999999999999e-08,4,-2.075811616759623e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,5.999937517287503e+02,6.000000000000000e+02,3.000000000000000e+02,3.000009778285089e+02,3.000000002147710e+02,0,0.000000000000000e+00,0.000000000000000e+00
4.999999999999994e-08,5,-2.072798033418813e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,5.999922380946982e+02,6.000000000000000e+02,3.000000000000000e+02,3.002164665488397e+02,3.000000475470010e+02,0,0.000000000000000e+00,0.000000000000000e+00
5.999999999999990e-08,6,-2.068373618460423e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,5.999907431054284e+02,6.000000000000000e+02,3.000000000000000e+02,3.007298297839449e+02,3.000001603230359e+02,0,0.000000000000000e+00,0.000000000000000e+00
6.999999999999986e-08,7,-2.063415386404422e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,5.999892664098721e+02,6.000000000000000e+02,3.000000000000000e+02,3.013281848774588e+02,3.000002917959816e+02,0,0.000000000000000e+00,0.000000000000000e+00
7.999999999999982e-08,8,-2.059084444500956e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,5.999878076642906e+02,6.000000000000000e+02,3.000000000000000e+02,3.018464335057048e+02,3.000004057043211e+02,0,0.000000000000000e+00,0.000000000000000e+00
8.999999999999977e-08,9,-2.055841280644151e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,5.999863665321162e+02,6.000000000000000e+02,3.000000000000000e+02,3.022511642332936e+02,3.000004947044074e+02,0,0.000000000000000e+00,0.000000000000000e+00
