time,step,wp_Tmin,wp_Tmax,wp_Tavg,wp_umax,wp_svm_max,wp_epspl_max,wp_contact_pmax,wp_contact_count
0.000000000000000e+00,0,3.000000000000000e+02,3.000000000000000e+02,3.000000000000000e+02,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0
9.999999999999989e-08,1,3.000000000000000e+02,3.000081665931718e+02,3.000000021777391e+02,1.618712137542419e-07,2.108757635552692e+08,0.000000000000000e+00,6.959191461298445e+12,1
1.999999999999995e-07,2,3.000000000000000e+02,3.000179521549628e+02,3.000000047885741e+02,3.345072412173215e-07,3.861793230510143e+08,0.000000000000000e+00,1.204727714070409e+13,1
3.000000000000007e-07,3,3.000000000000000e+02,3.000277896677484e+02,3.000000074148514e+02,5.064294162600230e-07,5.519494290666546e+08,0.000000000000000e+00,1.681458269253463e+13,1
4.000000000000029e-07,4,3.000000000000000e+02,3.000352031468207e+02,3.000000093962435e+02,6.699073261858632e-07,7.202961698643014e+08,0.000000000000000e+00,2.165342320864504e+13,1
5.000000000000039e-07,5,3.000000000000000e+02,3.000463938196160e+02,3.000000123858625e+02,8.319932303563299e-07,8.990007405683669e+08,1.107513106110922e-05,2.689506799611451e+13,1
6.000000000000008e-07,6,3.000000000000000e+02,3.004058545453929e+02,3.000001082415894e+02,1.000868808007998e-06,1.011002098112507e+09,1.022060681379283e-03,3.156136188870442e+13,1
6.999999999999977e-07,7,3.000000000000000e+02,3.013425992487229e+02,3.000003581069654e+02,1.180166982797151e-06,1.048390204997897e+09,3.574612253591087e-03,3.488431782480880e+13,1
7.999999999999947e-07,8,3.000000000000000e+02,3.024498298827313e+02,3.000006535878730e+02,1.360471145838356e-06,1.070770678876557e+09,6.523751261936033e-03,3.771038033417726e+13,1
8.999999999999916e-07,9,3.000000000000000e+02,3.035584521363992e+02,3.000009496180670e+02,1.540755503846964e-06,1.083736487345178e+09,9.434424978261182e-03,3.982903437935759e+13,1
9.999999999999934e-07,10,3.000000000000000e+02,3.045968408170412e+02,3.000012271207824e+02,1.722649769568921e-06,1.095346279592049e+09,1.213046451880201e-02,4.183834552905548e+13,1
1.100000000000001e-06,11,3.000000000000000e+02,3.056607603946623e+02,3.000015125065958e+02,1.908956420216625e-06,1.107214438737312e+09,1.486190029590213e-02,4.384412121878672e+13,1
