time,step,P_cond_W,P_fric_W,scale,frac_wp,frac_tool,tool_pos_x,tool_pos_y,tool_vel_x,tool_vel_y,tool_Tmin,tool_Tmax,wp_Tmin,wp_Tmax,wp_Tavg,contact_iters,rel_force,rel_power
0.000000000000000e+00,0,0.000000000000000e+00,0.000000000000000e+00,1.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.958777350403768e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,3.000000000000000e+02,3.000000000000000e+02,3.000000000000000e+02,3.000000000000000e+02,3.000000000000000e+02,0,0.000000000000000e+00,0.000000000000000e+00
2.000000000000000e-08,1,5.531441409658606e-09,7.396408665602250e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.925444017070438e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.000006698700797e+02,3.000000000000000e+02,3.000007175022222e+02,3.000000001912896e+02,2,0.000000000000000e+00,0.000000000000000e+00
4.000000000000001e-08,2,1.868660992689491e-08,7.902210553713090e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.892110683737105e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.000024534393926e+02,3.000000000000000e+02,3.000025487913513e+02,3.000000006795547e+02,2,0.000000000000000e+00,0.000000000000000e+00
