time,step,wp_Tmin,wp_Tmax,wp_Tavg,wp_umax,wp_svm_max,wp_epspl_max,wp_contact_pmax,wp_contact_count
0.000000000000000e+00,0,3.000000000000000e+02,3.000000000000000e+02,3.000000000000000e+02,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0
2.000000000000000e-08,1,3.000000000000000e+02,3.000007175022222e+02,3.000000001912896e+02,2.658240883543683e-08,5.209744447884380e+07,0.000000000000000e+00,2.184567462943223e+12,1
4.000000000000001e-08,2,3.000000000000000e+02,3.000025487913513e+02,3.000000006795547e+02,5.935307462164233e-08,9.555611664129670e+07,0.000000000000000e+00,3.595733042405547e+12,1
