time,step,wp_Tmin,wp_Tmax,wp_Tavg,wp_umax,wp_svm_max,wp_epspl_max,wp_contact_pmax,wp_contact_count
0.000000000000000e+00,0,3.000000000000000e+02,3.000000000000000e+02,3.000000000000000e+02,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0
4.999999999999994e-08,1,3.000000000000000e+02,3.000083221974446e+02,3.000000008739892e+02,8.166441791006599e-08,2.128027591006976e+08,0.000000000000000e+00,1.406893052995661e+13,1
9.999999999999973e-08,2,3.000000000000000e+02,3.000181880314200e+02,3.000000019111956e+02,1.687989565065838e-07,3.900254428446698e+08,0.000000000000000e+00,2.438118759401246e+13,1
1.500000000000003e-07,3,3.000000000000000e+02,3.000281933423040e+02,3.000000029642820e+02,2.564634050838001e-07,5.574341991877882e+08,0.000000000000000e+00,3.405587011181583e+13,1
2.000000000000014e-07,4,3.000000000000000e+02,3.000384126934459e+02,3.000000040410818e+02,3.440869522059969e-07,7.172692975612781e+08,0.000000000000000e+00,4.324454820343827e+13,1
2.500000000000019e-07,5,3.000000000000000e+02,3.000494741333860e+02,3.000000052075876e+02,4.317632264708832e-07,8.736952846376823e+08,2.600382831221730e-06,5.223129289317821e+13,1
3.000000000000004e-07,6,3.000000000000000e+02,3.001823642460166e+02,3.000000191667568e+02,5.182968941685429e-07,9.986772425440319e+08,3.650752392886263e-04,6.046821263443161e+13,1
3.499999999999989e-07,7,3.000000000000000e+02,3.007974524271131e+02,3.000000837862504e+02,6.077560161292610e-07,1.043238871349831e+09,2.049134438078866e-03,6.639757404779706e+13,1
3.999999999999973e-07,8,3.000000000000000e+02,3.016141540460666e+02,3.000001696598442e+02,6.992788465923716e-07,1.066635942043598e+09,4.231500475984692e-03,7.130704127923958e+13,1
4.499999999999958e-07,9,3.000000000000000e+02,3.025775143702946e+02,3.000002710373572e+02,7.929051804656972e-07,1.088687797658915e+09,6.754114119098868e-03,7.652731917351981e+13,1
4.999999999999967e-07,10,3.000000000000000e+02,3.037155925250968e+02,3.000003908861671e+02,8.876956430197397e-07,1.107151266248080e+09,9.685560842815542e-03,8.179526928408361e+13,1
5.500000000000005e-07,11,3.000000000000000e+02,3.049478062516416e+02,3.000005207821753e+02,9.848266564703447e-07,1.122832016835006e+09,1.281271469062376e-02,8.686586216462127e+13,1
6.000000000000042e-07,12,3.000000000000000e+02,3.062721156970015e+02,3.000006615859833e+02,1.083935700869143e-06,1.137562122754866e+09,1.613027286411190e-02,9.192823795230592e+13,1
6.500000000000080e-07,13,3.000000000000000e+02,3.077005891547055e+02,3.000008305965899e+02,1.184330947406144e-06,1.151478440793704e+09,1.966765173691658e-02,9.642074908546091e+13,1
7.000000000000117e-07,14,3.000000000000000e+02,3.090780361511988e+02,3.000010297031963e+02,1.284937322515685e-06,1.151079367852868e+09,2.305557807193626e-02,9.719463854256462e+13,2
7.500000000000155e-07,15,3.000000000000000e+02,3.099724862984568e+02,3.000012256817575e+02,1.383691945295262e-06,1.151333891185779e+09,2.526560259861360e-02,9.586427438824692e+13,2
8.000000000000192e-07,16,3.000000000000000e+02,3.107582664383894e+02,3.000014143167833e+02,1.480899557523008e-06,1.153940787874928e+09,2.720739814920721e-02,9.490895786477611e+13,2
8.500000000000230e-07,17,3.000000000000000e+02,3.114739921143737e+02,3.000015919324718e+02,1.576248208083631e-06,1.155468879261258e+09,2.897701419599627e-02,9.389823252940958e+13,2
9.000000000000267e-07,18,3.000000000000000e+02,3.121273116534750e+02,3.000017576202762e+02,1.671478309398847e-06,1.157409184781432e+09,3.059094877239500e-02,9.294906690360634e+13,2
9.500000000000305e-07,19,3.000000000000000e+02,3.127463506327575e+02,3.000019172225432e+02,1.765112679527473e-06,1.160335876312315e+09,3.212060405231638e-02,9.218357269236095e+13,2
1.000000000000034e-06,20,3.000000000000000e+02,3.133809134663908e+02,3.000020835687023e+02,1.858039130592535e-06,1.165407616315870e+09,3.368424740115297e-02,9.168765467659772e+13,2
1.050000000000038e-06,21,3.000000000000000e+02,3.140506168724933e+02,3.000022610031021e+02,1.951733225871969e-06,1.170243862322342e+09,3.532723651918373e-02,9.115372302702428e+13,2
1.100000000000042e-06,22,3.000000000000000e+02,3.147567915352501e+02,3.000024506357528e+02,2.046655140102745e-06,1.176998175933646e+09,3.704928896392864e-02,9.203450375992541e+13,2
1.150000000000046e-06,23,3.000000000000000e+02,3.156165975699257e+02,3.000026832821882e+02,2.144329839622827e-06,1.187974838720003e+09,3.912293247877448e-02,1.030324171642333e+14,2
1.200000000000049e-06,24,3.000000000000000e+02,3.166430816958675e+02,3.000029632006519e+02,2.246613706627506e-06,1.196987903987144e+09,4.156977936903823e-02,1.149181269410785e+14,2
1.250000000000053e-06,25,3.000000000000000e+02,3.177976176480337e+02,3.000032920095504e+02,2.353052589051341e-06,1.204926110416754e+09,4.429391746583185e-02,1.273874613072815e+14,2
1.300000000000057e-06,26,3.000000000000000e+02,3.190467090307644e+02,3.000036981833022e+02,2.463380629911408e-06,1.212144664619305e+09,4.721490365070399e-02,1.393798540516699e+14,2
1.350000000000061e-06,27,3.000000000000000e+02,3.203518405781311e+02,3.000041679702925e+02,2.576353645217475e-06,1.217947183738851e+09,5.024556312122965e-02,1.506115983417840e+14,2
1.400000000000064e-06,28,3.000000000000000e+02,3.216071275461608e+02,3.000046441981119e+02,2.689560983979079e-06,1.216472403342630e+09,5.315331482313761e-02,1.588182769923868e+14,3
1.450000000000068e-06,29,3.000000000000000e+02,3.223726249695694e+02,3.000049670409723e+02,2.792262902330001e-06,1.202522719016459e+09,5.496065947419584e-02,1.621201462607632e+14,3
1.500000000000072e-06,30,3.000000000000000e+02,3.228698200088912e+02,3.000051994943237e+02,2.888260825537571e-06,1.195049341395029e+09,5.615897943827656e-02,1.643778711480469e+14,3
1.550000000000076e-06,31,3.000000000000000e+02,3.232587396691660e+02,3.000053930446927e+02,2.981607207324409e-06,1.191009491862506e+09,5.710822377725328e-02,1.664123619237765e+14,3
1.600000000000079e-06,32,3.000000000000000e+02,3.235895029999568e+02,3.000055813881053e+02,3.076766330104851e-06,1.188516227649891e+09,5.791614044914997e-02,1.683021409827998e+14,3
1.650000000000083e-06,33,3.000000000000000e+02,3.239077036252322e+02,3.000057970197082e+02,3.172318365176263e-06,1.190816507476173e+09,5.869300546451691e-02,1.703081339000016e+14,3
1.700000000000087e-06,34,3.000000000000000e+02,3.242593648713705e+02,3.000060652323473e+02,3.266612302769419e-06,1.196962659948792e+09,5.954787253490607e-02,1.730125291607039e+14,3
1.750000000000091e-06,35,3.000000000000000e+02,3.246826273015404e+02,3.000064124885303e+02,3.363071288073644e-06,1.203055332514233e+09,6.056454482153047e-02,1.757893289950110e+14,3
1.800000000000094e-06,36,3.000000000000000e+02,3.251481896763632e+02,3.000068335374076e+02,3.463764088483665e-06,1.206304782465299e+09,6.166883097394608e-02,1.780919772699851e+14,3
1.850000000000098e-06,37,3.000000000000000e+02,3.256571045390592e+02,3.000073833165389e+02,3.568709280078744e-06,1.211807668121125e+09,6.286260781284680e-02,1.798140270446071e+14,3
